page_index,tag,gt_stem,positions
3,p,ja,"[20, 47, 57, 80, 112, 126, 134, 146, 158, 170]"
3,p,tomaat,[59]
3,p,kinku,[70]
3,p,kasviks,[79]
3,p,juusto,[81]
3,p,muka,[92]
3,p,broiler,[119]
3,p,til,"[135, 171]"
3,h3,muka,[0]
3,h3,maku,[1]
3,h3,ja,"[8, 24, 31]"
3,h3,karamellisoidu,[21]
3,h3,omen,[22]
3,h3,sinihomejuusto,[25]
3,h3,broiler,[28]
3,h3,kookos,[29]
4,a,test,[9]
4,a,muka,[10]
4,a,maku,"[11, 23, 57]"
4,a,juhl,"[16, 38]"
4,a,joulu,[20]
4,a,juoma,[21]
4,a,maailm,"[24, 58, 112, 114]"
4,a,leivon,[34]
4,a,ruoka,"[36, 103]"
4,a,piz,"[44, 50, 60]"
4,a,ja,"[46, 77]"
4,a,kinku,[48]
4,a,an,"[54, 93]"
4,a,italialain,[55]
4,a,keitiö,[56]
4,a,pits,[59]
4,a,pizzaresept,[61]
4,a,peru,[62]
4,a,siika,[67]
4,a,halloum,[69]
4,a,seura,"[72, 73, 74, 106]"
4,a,kaksplus,[98]
4,a,suome,[107]
4,span,piz,[2]
4,span,ruoka,[4]
4,h1,piz,[1]
4,p,piz,"[11, 22, 61]"
4,p,ja,"[18, 36, 41, 48, 78, 88]"
4,p,kokonais,[30]
4,p,sisäfil,[39]
4,p,herkkusien,[42]
4,p,pinaat,[89]
4,h3,muka,[0]
4,h3,maku,[1]
4,h3,ja,"[8, 24, 31]"
4,h3,karamellisoidu,[21]
4,h3,omen,[22]
4,h3,sinihomejuusto,[25]
4,h3,broiler,[28]
4,h3,kookos,[29]
5,a,test,[9]
5,a,muka,[10]
5,a,maku,"[11, 23]"
5,a,juhl,"[16, 38, 77]"
5,a,joulu,[20]
5,a,juoma,[21]
5,a,maailm,"[24, 128, 130]"
5,a,leivon,[34]
5,a,ruoka,"[36, 119]"
5,a,riisipalo,"[44, 60, 74]"
5,a,salaat,[48]
5,a,japanilain,"[52, 68]"
5,a,ja,"[55, 93]"
5,a,marinoitu,[58]
5,a,paahtofil,"[59, 73]"
5,a,an,"[66, 109]"
5,a,buf,[67]
5,a,keitiö,[69]
5,a,katkarapukäärö,[70]
5,a,lakkiais,[71]
5,a,noutopöy,[72]
5,a,valmistujais,[75]
5,a,peru,[78]
5,a,siika,[83]
5,a,halloum,[85]
5,a,seura,"[88, 89, 90, 122]"
